"filename", "language", "TypeScript React", "TypeScript", "JSON", "JavaScript", "JSON with Comments", "Markdown", "HTML", "YAML", "comment", "blank", "total"
"/Users/heggria/github/Ark-survey-frontend/src/components/CardRoot.tsx", "TypeScript React", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/heggria/github/Ark-survey-frontend/src/components/CustomNavbar.tsx", "TypeScript React", 75, 0, 0, 0, 0, 0, 0, 0, 0, 5, 80
"/Users/heggria/github/Ark-survey-frontend/src/components/Footer.tsx", "TypeScript React", 222, 0, 0, 0, 0, 0, 0, 0, 0, 6, 228
"/Users/heggria/github/Ark-survey-frontend/src/components/Header.tsx", "TypeScript React", 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/heggria/github/Ark-survey-frontend/src/components/NavItem.tsx", "TypeScript React", 70, 0, 0, 0, 0, 0, 0, 0, 1, 4, 75
"/Users/heggria/github/Ark-survey-frontend/src/components/Notice.tsx", "TypeScript React", 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"/Users/heggria/github/Ark-survey-frontend/src/components/PageHeader.tsx", "TypeScript React", 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/heggria/github/Ark-survey-frontend/src/components/StyledTabs.tsx", "TypeScript React", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/heggria/github/Ark-survey-frontend/src/components/useVersionDialog.tsx", "TypeScript React", 51, 0, 0, 0, 0, 0, 0, 0, 0, 6, 57
"/Users/heggria/github/Ark-survey-frontend/src/contexts/index.tsx", "TypeScript React", 147, 0, 0, 0, 0, 0, 0, 0, 0, 3, 150
"/Users/heggria/github/Ark-survey-frontend/src/hooks/useChangeSize.tsx", "TypeScript React", 20, 0, 0, 0, 0, 0, 0, 0, 1, 5, 26
"/Users/heggria/github/Ark-survey-frontend/src/hooks/useCreateLocalTierList.tsx", "TypeScript React", 29, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"/Users/heggria/github/Ark-survey-frontend/src/hooks/useIsMobile.tsx", "TypeScript React", 14, 0, 0, 0, 0, 0, 0, 0, 1, 5, 20
"/Users/heggria/github/Ark-survey-frontend/src/hooks/useLoadStaticFile.tsx", "TypeScript React", 24, 0, 0, 0, 0, 0, 0, 0, 2, 4, 30
"/Users/heggria/github/Ark-survey-frontend/src/hooks/useLoadUserTierLists.tsx", "TypeScript React", 52, 0, 0, 0, 0, 0, 0, 0, 3, 7, 62
