"filename", "language", "TypeScript React", "YAML", "TypeScript", "JSON", "JSON with Comments", "JavaScript", "Markdown", "HTML", "comment", "blank", "total"
"/Users/heggria/github/Ark-survey-frontend/src/components/StyledTabs.tsx", "TypeScript React", 34, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"/Users/heggria/github/Ark-survey-frontend/src/components/char-container/index.tsx", "TypeScript React", 168, 0, 0, 0, 0, 0, 0, 0, 1, 15, 184
"/Users/heggria/github/Ark-survey-frontend/src/components/image-container/CharAvatar.tsx", "TypeScript React", 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/heggria/github/Ark-survey-frontend/src/components/image-container/SkillIcon.tsx", "TypeScript React", 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"/Users/heggria/github/Ark-survey-frontend/src/components/image-container/UniEquipImg.tsx", "TypeScript React", 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"/Users/heggria/github/Ark-survey-frontend/src/components/image-container/index.tsx", "TypeScript React", 55, 0, 0, 0, 0, 0, 0, 0, 2, 5, 62
"/Users/heggria/github/Ark-survey-frontend/src/components/level-panel/index.tsx", "TypeScript React", 246, 0, 0, 0, 0, 0, 0, 0, 2, 7, 255
"/Users/heggria/github/Ark-survey-frontend/src/components/skill-container/SkillGroup.tsx", "TypeScript React", 326, 0, 0, 0, 0, 0, 0, 0, 1, 7, 334
"/Users/heggria/github/Ark-survey-frontend/src/components/skill-container/index.tsx", "TypeScript React", 121, 0, 0, 0, 0, 0, 0, 0, 1, 12, 134
"/Users/heggria/github/Ark-survey-frontend/src/components/skin-use-panel/index.tsx", "TypeScript React", 36, 0, 0, 0, 0, 0, 0, 0, 1, 6, 43
"/Users/heggria/github/Ark-survey-frontend/src/components/uni-equip-panel/index.tsx", "TypeScript React", 217, 0, 0, 0, 0, 0, 0, 0, 3, 8, 228
"/Users/heggria/github/Ark-survey-frontend/src/components/useVersionDialog.tsx", "TypeScript React", 51, 0, 0, 0, 0, 0, 0, 0, 0, 6, 57
"/Users/heggria/github/Ark-survey-frontend/src/components/version-update/index.tsx", "TypeScript React", 11, 0, 0, 0, 0, 0, 0, 0, 2, 3, 16
"/Users/heggria/github/Ark-survey-frontend/src/contexts/index.tsx", "TypeScript React", 147, 0, 0, 0, 0, 0, 0, 0, 0, 3, 150
"/Users/heggria/github/Ark-survey-frontend/src/hooks/index.tsx", "TypeScript React", 55, 0, 0, 0, 0, 0, 0, 0, 3, 14, 72
"/Users/heggria/github/Ark-survey-frontend/src/hooks/useCreateLocalTierList.tsx", "TypeScript React", 29, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"/Users/heggria/github/Ark-survey-frontend/src/hooks/useLoadStaticFile.tsx", "TypeScript React", 24, 0, 0, 0, 0, 0, 0, 0, 2, 4, 30
"/Users/heggria/github/Ark-survey-frontend/src/hooks/useLoadUserTierLists.tsx", "TypeScript React", 52, 0, 0, 0, 0, 0, 0, 0, 3, 7, 62
"/Users/heggria/github/Ark-survey-frontend/src/hooks/useLoadingGlobalData.tsx", "TypeScript React", 22, 0, 0, 0, 0, 0, 0, 0, 1, 5, 28
"/Users/heggria/github/Ark-survey-frontend/src/hooks/useOperateEditingTierList.tsx", "TypeScript React", 133, 0, 0, 0, 0, 0, 0, 0, 4, 17, 154
"/Users/heggria/github/Ark-survey-frontend/src/i18n/index.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 1, 3, 20
"/Users/heggria/github/Ark-survey-frontend/src/i18n/locales/en.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/heggria/github/Ark-survey-frontend/src/i18n/locales/ja.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/heggria/github/Ark-survey-frontend/src/i18n/locales/ko.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/heggria/github/Ark-survey-frontend/src/i18n/locales/zh-CN.json", "JSON", 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 125
"/Users/heggria/github/Ark-survey-frontend/src/i18n/locales/zh-TW.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/heggria/github/Ark-survey-frontend/src/i18n/resources.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/heggria/github/Ark-survey-frontend/src/index.tsx", "TypeScript React", 16, 0, 0, 0, 0, 0, 0, 0, 8, 6, 30
"/Users/heggria/github/Ark-survey-frontend/src/pages/char-box/components/CharBoxInsidePage/index.tsx", "TypeScript React", 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"/Users/heggria/github/Ark-survey-frontend/src/pages/char-box/components/CharBoxMainPage/Description.tsx", "TypeScript React", 25, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"/Users/heggria/github/Ark-survey-frontend/src/pages/char-box/components/CharBoxMainPage/index.tsx", "TypeScript React", 104, 0, 0, 0, 0, 0, 0, 0, 0, 5, 109
"/Users/heggria/github/Ark-survey-frontend/src/pages/char-box/components/CharExchangeAffix.tsx", "TypeScript React", 68, 0, 0, 0, 0, 0, 0, 0, 4, 5, 77
"/Users/heggria/github/Ark-survey-frontend/src/pages/char-box/components/CharExchangeBox/CharBoxList.tsx", "TypeScript React", 47, 0, 0, 0, 0, 0, 0, 0, 1, 5, 53
"/Users/heggria/github/Ark-survey-frontend/src/pages/char-box/components/CharExchangeBox/CharList.tsx", "TypeScript React", 35, 0, 0, 0, 0, 0, 0, 0, 0, 5, 40
"/Users/heggria/github/Ark-survey-frontend/src/pages/char-box/components/CharExchangeBox/CharListItem.tsx", "TypeScript React", 32, 0, 0, 0, 0, 0, 0, 0, 0, 6, 38
"/Users/heggria/github/Ark-survey-frontend/src/pages/char-box/components/CharExchangeBox/index.tsx", "TypeScript React", 183, 0, 0, 0, 0, 0, 0, 0, 1, 11, 195
"/Users/heggria/github/Ark-survey-frontend/src/pages/char-box/index.tsx", "TypeScript React", 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/Users/heggria/github/Ark-survey-frontend/src/pages/demo/index.tsx", "TypeScript React", 13, 0, 0, 0, 0, 0, 0, 0, 1, 1, 15
"/Users/heggria/github/Ark-survey-frontend/src/pages/index.tsx", "TypeScript React", 141, 0, 0, 0, 0, 0, 0, 0, 1, 8, 150
